,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,poutcome,deposit,p_recency
97,41.0,technician,married,secondary,no,501,yes,no,unknown,19,may,579,unknown,1,None
98,36.0,blue-collar,married,secondary,no,4438,yes,no,unknown,20,may,446,unknown,1,None
99,35.0,blue-collar,divorced,secondary,no,0,yes,no,unknown,20,may,1205,unknown,1,None
100,29.0,services,single,secondary,no,271,yes,no,unknown,20,may,1882,unknown,1,None
101,35.0,blue-collar,married,primary,no,102,yes,no,unknown,20,may,1334,unknown,1,None
102,31.0,blue-collar,married,secondary,no,2,yes,no,unknown,20,may,182,unknown,1,None
103,35.0,services,married,secondary,no,4170,yes,no,unknown,20,may,1777,unknown,1,None
104,34.0,technician,single,secondary,no,85,yes,no,unknown,20,may,1182,unknown,1,None
105,31.0,admin.,single,secondary,no,431,yes,yes,unknown,20,may,1045,unknown,1,None
106,44.0,technician,divorced,secondary,no,982,yes,no,unknown,20,may,650,unknown,1,None
107,36.0,blue-collar,married,primary,no,408,yes,yes,unknown,20,may,1063,unknown,1,None
108,35.0,blue-collar,married,unknown,no,4822,yes,no,unknown,20,may,843,unknown,1,None
109,41.0,blue-collar,married,primary,no,1250,yes,no,unknown,20,may,1392,unknown,1,None
110,31.0,blue-collar,single,primary,no,216,yes,no,unknown,21,may,565,unknown,1,None
111,34.0,blue-collar,married,secondary,no,1207,yes,no,unknown,21,may,905,unknown,1,None
112,32.0,technician,married,secondary,no,791,yes,no,unknown,21,may,783,unknown,1,None
113,36.0,management,married,tertiary,no,849,yes,yes,unknown,21,may,958,unknown,1,None
114,30.0,blue-collar,single,secondary,yes,239,yes,no,unknown,21,may,412,unknown,1,None
115,37.0,technician,single,secondary,no,1211,yes,no,unknown,21,may,795,unknown,1,None
116,36.0,blue-collar,married,primary,no,599,yes,no,unknown,21,may,649,unknown,1,None
117,31.0,management,single,tertiary,no,825,yes,no,unknown,21,may,506,unknown,1,None
118,27.0,technician,married,secondary,no,2183,yes,yes,unknown,21,may,857,unknown,1,None
119,34.0,retired,married,primary,no,4499,no,no,unknown,21,may,1681,unknown,1,None
120,30.0,technician,single,tertiary,no,1289,yes,no,unknown,21,may,1697,unknown,1,None
121,32.0,technician,single,tertiary,no,4665,yes,no,unknown,21,may,860,unknown,1,None
122,37.0,technician,single,secondary,no,3326,yes,no,unknown,21,may,799,unknown,1,None
123,32.0,blue-collar,married,secondary,no,783,yes,no,unknown,21,may,923,unknown,1,None
124,33.0,blue-collar,married,secondary,no,0,yes,no,unknown,21,may,521,unknown,1,None
125,35.0,blue-collar,married,primary,no,994,yes,no,unknown,23,may,1349,unknown,1,None
126,35.0,self-employed,divorced,tertiary,no,1354,yes,no,unknown,23,may,736,unknown,1,None
127,30.0,blue-collar,single,secondary,no,239,yes,no,unknown,23,may,785,unknown,1,None
128,45.0,blue-collar,divorced,primary,no,-311,yes,no,unknown,23,may,1030,unknown,1,None
129,45.0,admin.,married,secondary,no,149,yes,no,unknown,23,may,893,unknown,1,None
130,33.0,blue-collar,married,secondary,no,1464,yes,no,unknown,23,may,588,unknown,1,None
131,44.0,management,divorced,tertiary,no,5773,no,no,unknown,23,may,597,unknown,1,None
132,40.0,blue-collar,married,primary,no,278,yes,no,unknown,23,may,1015,unknown,1,None
133,31.0,blue-collar,married,secondary,no,2910,yes,no,unknown,23,may,1392,unknown,1,None
134,30.0,technician,married,tertiary,no,541,yes,no,unknown,26,may,414,unknown,1,None
135,44.0,technician,divorced,secondary,no,1262,yes,no,unknown,26,may,788,unknown,1,None
136,34.0,services,married,secondary,no,-538,yes,no,unknown,26,may,682,unknown,1,None
137,37.0,blue-collar,married,secondary,no,125,no,no,unknown,26,may,679,unknown,1,None
138,28.0,self-employed,single,tertiary,no,0,yes,no,unknown,26,may,1560,unknown,1,None
139,32.0,admin.,single,secondary,no,620,yes,no,unknown,26,may,1234,unknown,1,None
140,37.0,blue-collar,divorced,secondary,no,316,yes,no,unknown,26,may,642,unknown,1,None
141,34.0,management,married,tertiary,no,2287,yes,no,unknown,26,may,895,unknown,1,None
142,38.0,admin.,divorced,secondary,no,198,yes,no,unknown,26,may,431,unknown,1,None
143,28.0,admin.,single,secondary,no,460,yes,no,unknown,26,may,741,unknown,1,None
144,31.0,management,divorced,tertiary,no,1145,yes,no,unknown,26,may,1272,unknown,1,None
145,59.0,services,married,secondary,no,-22,yes,no,unknown,26,may,748,unknown,1,None
146,24.0,blue-collar,married,secondary,no,685,yes,no,unknown,26,may,896,unknown,1,None
147,26.0,services,single,secondary,no,901,yes,no,unknown,26,may,764,unknown,1,None
148,59.0,retired,single,secondary,no,351,yes,no,unknown,27,may,1063,unknown,1,None
149,30.0,entrepreneur,single,primary,no,0,yes,yes,unknown,27,may,1051,unknown,1,None
150,37.0,admin.,married,secondary,no,274,yes,no,unknown,27,may,731,unknown,1,None
151,30.0,admin.,single,secondary,no,-213,yes,yes,unknown,27,may,751,unknown,1,None
152,25.0,blue-collar,married,secondary,no,97,yes,no,unknown,27,may,709,unknown,1,None
153,44.0,services,divorced,secondary,no,51,yes,yes,unknown,27,may,3094,unknown,1,None
154,29.0,management,married,tertiary,no,314,no,no,unknown,28,may,938,unknown,1,None
155,26.0,management,single,tertiary,no,6840,yes,no,unknown,28,may,1560,unknown,1,None
156,26.0,technician,single,secondary,no,668,yes,no,unknown,28,may,576,unknown,1,None
157,27.0,services,single,secondary,no,54,yes,no,unknown,28,may,543,unknown,1,None
158,25.0,self-employed,single,secondary,no,1242,yes,no,unknown,28,may,615,unknown,1,None
159,28.0,management,married,secondary,no,292,yes,no,unknown,28,may,507,unknown,1,None
160,23.0,services,single,secondary,no,665,yes,no,unknown,28,may,1183,unknown,1,None
161,34.0,management,single,tertiary,no,1058,yes,no,unknown,28,may,864,unknown,1,None
162,28.0,student,single,secondary,no,949,yes,no,unknown,28,may,1730,unknown,1,None
163,51.0,entrepreneur,married,unknown,no,606,yes,no,unknown,28,may,560,unknown,1,None
164,35.0,blue-collar,married,secondary,no,0,yes,yes,unknown,29,may,543,unknown,1,None
165,35.0,admin.,married,secondary,no,404,yes,no,unknown,29,may,539,unknown,1,None
166,56.0,blue-collar,married,secondary,no,249,yes,no,unknown,29,may,791,unknown,1,None
167,45.0,unemployed,divorced,secondary,no,3354,yes,no,unknown,29,may,746,unknown,1,None
168,60.0,blue-collar,divorced,secondary,no,0,yes,no,unknown,29,may,1207,unknown,1,None
169,56.0,technician,married,secondary,no,589,yes,no,unknown,29,may,535,unknown,1,None
170,27.0,management,single,tertiary,no,12956,yes,no,unknown,29,may,789,unknown,1,None
171,30.0,admin.,married,secondary,no,873,yes,no,unknown,29,may,792,unknown,1,None
172,45.0,blue-collar,divorced,primary,no,594,yes,no,unknown,29,may,833,unknown,1,None
173,29.0,blue-collar,single,secondary,no,-20,yes,no,unknown,29,may,814,unknown,1,None
174,38.0,management,divorced,tertiary,no,4692,yes,no,unknown,29,may,1363,unknown,1,None
175,30.0,blue-collar,married,secondary,no,486,yes,no,unknown,29,may,1109,unknown,1,None
176,44.0,blue-collar,single,primary,no,1593,yes,no,unknown,29,may,828,unknown,1,None
177,36.0,management,single,tertiary,no,7606,yes,no,unknown,30,may,917,unknown,1,None
178,38.0,technician,married,secondary,no,226,yes,no,unknown,30,may,762,unknown,1,None
179,36.0,blue-collar,single,secondary,no,366,yes,yes,unknown,30,may,1133,unknown,1,None
180,37.0,management,divorced,secondary,no,16,yes,no,unknown,30,may,638,unknown,1,None
181,35.0,management,single,tertiary,no,565,yes,no,unknown,30,may,763,unknown,1,None
182,38.0,admin.,divorced,secondary,no,19,yes,no,unknown,30,may,604,unknown,1,None
183,40.0,services,married,primary,no,1082,yes,no,unknown,30,may,854,unknown,1,None
184,42.0,unemployed,divorced,secondary,no,1713,yes,no,unknown,30,may,855,unknown,1,None
185,46.0,management,divorced,tertiary,no,14481,yes,no,unknown,30,may,1269,unknown,1,None
186,35.0,technician,divorced,secondary,no,5724,yes,no,unknown,30,may,691,unknown,1,None
187,34.0,technician,divorced,secondary,no,1451,yes,no,unknown,30,may,1097,unknown,1,None
188,32.0,services,married,secondary,no,-34,yes,no,unknown,30,may,1236,unknown,1,None
189,50.0,unemployed,married,secondary,no,3674,yes,no,unknown,30,may,886,unknown,1,None
190,35.0,blue-collar,married,secondary,no,698,yes,yes,unknown,30,may,1343,unknown,1,None
191,36.0,technician,single,secondary,no,4136,yes,no,unknown,30,may,812,unknown,1,None
192,53.0,blue-collar,divorced,primary,no,2656,yes,no,unknown,30,may,1980,unknown,1,None
193,46.0,management,single,tertiary,no,2904,yes,no,unknown,30,may,984,unknown,1,None
194,26.0,management,single,tertiary,no,1004,yes,no,unknown,30,may,228,unknown,1,None
195,45.0,technician,single,secondary,no,410,yes,no,unknown,30,may,891,unknown,1,None
196,31.0,unemployed,divorced,primary,no,0,yes,no,unknown,30,may,745,unknown,1,None
197,29.0,management,single,tertiary,no,0,yes,no,unknown,30,may,539,unknown,1,None
198,53.0,entrepreneur,single,secondary,no,62,yes,no,unknown,30,may,1044,unknown,1,None
199,27.0,blue-collar,married,primary,no,416,yes,no,unknown,30,may,1193,unknown,1,None
200,39.0,management,married,tertiary,no,2763,yes,no,unknown,2,jun,526,unknown,1,None
201,36.0,services,married,secondary,no,2984,yes,no,unknown,2,jun,394,unknown,1,None
202,41.0,blue-collar,married,primary,no,143,yes,yes,unknown,2,jun,659,unknown,1,None
203,36.0,services,married,primary,no,0,yes,no,unknown,2,jun,1036,unknown,1,None
204,32.0,technician,married,secondary,no,696,yes,no,unknown,2,jun,815,unknown,1,None
205,35.0,services,married,secondary,no,152,yes,no,unknown,2,jun,563,unknown,1,None
206,36.0,management,single,tertiary,no,-78,yes,no,unknown,2,jun,1068,unknown,1,None
207,35.0,management,married,tertiary,no,867,yes,no,unknown,2,jun,230,unknown,1,None
208,30.0,blue-collar,single,secondary,no,953,yes,no,unknown,2,jun,747,unknown,1,None
209,42.0,blue-collar,married,secondary,no,443,yes,no,unknown,2,jun,671,unknown,1,None
210,42.0,technician,single,secondary,yes,-1129,yes,no,unknown,2,jun,555,unknown,1,None
211,32.0,blue-collar,married,primary,no,415,yes,no,unknown,2,jun,777,unknown,1,None
212,29.0,blue-collar,single,secondary,no,260,yes,no,unknown,2,jun,707,unknown,1,None
213,44.0,management,divorced,tertiary,yes,-411,yes,no,unknown,2,jun,432,unknown,1,None
214,32.0,technician,single,secondary,no,1279,yes,no,unknown,3,jun,1173,unknown,1,None
215,31.0,unemployed,married,secondary,no,86,yes,yes,unknown,3,jun,963,unknown,1,None
216,40.0,self-employed,married,secondary,yes,-754,yes,yes,unknown,3,jun,941,unknown,1,None
217,43.0,entrepreneur,married,secondary,no,0,no,no,unknown,3,jun,1025,unknown,1,None
218,27.0,management,single,secondary,no,178,yes,no,unknown,3,jun,732,unknown,1,None
219,37.0,services,single,secondary,no,278,yes,no,unknown,3,jun,1045,unknown,1,None
220,23.0,services,single,secondary,no,425,yes,no,unknown,3,jun,768,unknown,1,None
221,25.0,management,married,primary,no,168,yes,no,unknown,3,jun,801,unknown,1,None
222,26.0,blue-collar,single,secondary,yes,-36,yes,no,unknown,3,jun,482,unknown,1,None
223,47.0,blue-collar,divorced,primary,no,126,yes,no,unknown,3,jun,2456,unknown,1,None
224,35.0,admin.,married,secondary,no,-87,yes,no,unknown,3,jun,1363,unknown,1,None
225,32.0,technician,single,tertiary,no,6281,yes,no,unknown,3,jun,1336,unknown,1,None
226,45.0,management,divorced,secondary,no,644,yes,no,unknown,4,jun,633,unknown,1,None
227,30.0,admin.,divorced,secondary,no,377,yes,no,unknown,4,jun,524,unknown,1,None
228,29.0,services,single,secondary,no,-271,yes,no,unknown,4,jun,578,unknown,1,None
229,38.0,blue-collar,married,primary,no,5839,yes,no,unknown,4,jun,984,unknown,1,None
230,23.0,blue-collar,single,secondary,no,492,yes,no,unknown,4,jun,638,unknown,1,None
231,27.0,management,single,tertiary,no,99,yes,no,unknown,4,jun,767,unknown,1,None
232,27.0,management,single,tertiary,yes,-713,yes,no,unknown,4,jun,525,unknown,1,None
233,29.0,services,single,secondary,no,32,yes,no,unknown,4,jun,563,unknown,1,None
234,30.0,self-employed,married,tertiary,no,543,yes,yes,unknown,4,jun,1449,unknown,1,None
235,36.0,blue-collar,married,primary,no,403,yes,no,unknown,4,jun,920,unknown,1,None
236,35.0,admin.,divorced,secondary,no,437,yes,no,unknown,4,jun,908,unknown,1,None
237,36.0,blue-collar,married,secondary,no,1772,no,no,unknown,5,jun,208,unknown,1,None
238,59.0,retired,divorced,primary,no,-88,yes,no,unknown,5,jun,910,unknown,1,None
239,47.0,entrepreneur,married,secondary,no,0,no,no,unknown,5,jun,1446,unknown,1,None
240,58.0,entrepreneur,married,tertiary,no,853,no,no,unknown,5,jun,1149,unknown,1,None
241,37.0,management,single,tertiary,no,240,no,no,unknown,5,jun,1123,unknown,1,None
242,46.0,admin.,single,secondary,no,849,yes,no,unknown,5,jun,508,unknown,1,None
243,43.0,blue-collar,single,secondary,no,318,yes,no,unknown,5,jun,736,unknown,1,None
244,27.0,management,single,tertiary,no,703,yes,no,unknown,5,jun,590,unknown,1,None
245,38.0,services,divorced,secondary,no,61,no,no,unknown,5,jun,636,unknown,1,None
246,53.0,housemaid,married,primary,no,104,no,yes,unknown,5,jun,701,unknown,1,None
247,47.0,blue-collar,married,secondary,no,1996,no,no,unknown,5,jun,761,unknown,1,None
248,56.0,housemaid,divorced,primary,yes,1238,no,no,unknown,5,jun,1558,unknown,1,None
249,41.0,housemaid,married,secondary,no,879,no,no,unknown,5,jun,1053,unknown,1,None
250,29.0,self-employed,married,secondary,no,425,yes,no,unknown,5,jun,562,unknown,1,None
251,50.0,technician,married,secondary,no,416,yes,no,unknown,5,jun,494,unknown,1,None
252,45.0,blue-collar,divorced,primary,no,844,no,no,unknown,5,jun,1018,unknown,1,None
253,35.0,blue-collar,married,secondary,no,860,yes,no,unknown,5,jun,884,unknown,1,None
254,26.0,technician,single,secondary,no,639,yes,no,unknown,6,jun,709,unknown,1,None
255,26.0,admin.,married,secondary,no,710,yes,yes,unknown,6,jun,1276,unknown,1,None
256,37.0,blue-collar,married,unknown,no,1508,no,yes,unknown,6,jun,381,unknown,1,None
257,30.0,admin.,single,secondary,no,223,yes,no,unknown,6,jun,862,unknown,1,None
258,38.0,management,single,tertiary,no,619,yes,no,unknown,6,jun,460,unknown,1,None
259,37.0,services,divorced,secondary,no,319,yes,no,unknown,6,jun,467,unknown,1,None
260,53.0,technician,married,secondary,no,480,no,no,unknown,6,jun,648,unknown,1,None
261,29.0,blue-collar,single,primary,no,213,yes,no,unknown,6,jun,2653,unknown,1,None
262,35.0,management,single,tertiary,no,68,no,no,unknown,6,jun,1085,unknown,1,None
263,28.0,blue-collar,married,secondary,no,2788,yes,no,unknown,6,jun,369,unknown,1,None
264,55.0,blue-collar,married,unknown,no,7561,no,no,unknown,6,jun,685,unknown,1,None
265,49.0,management,divorced,secondary,no,-46,yes,no,unknown,9,jun,1055,unknown,1,None
266,50.0,services,married,secondary,no,1595,no,no,unknown,9,jun,882,unknown,1,None
267,43.0,management,single,tertiary,no,1046,no,no,unknown,9,jun,901,unknown,1,None
268,58.0,self-employed,divorced,tertiary,no,1382,no,no,unknown,9,jun,700,unknown,1,None
269,38.0,technician,married,primary,no,217,yes,no,unknown,9,jun,491,unknown,1,None
270,48.0,blue-collar,divorced,primary,no,183,no,no,unknown,9,jun,940,unknown,1,None
271,59.0,management,married,secondary,no,1321,no,no,unknown,9,jun,3881,unknown,1,None
272,58.0,blue-collar,married,secondary,no,25,no,no,unknown,9,jun,486,unknown,1,None
273,36.0,self-employed,single,tertiary,no,4844,no,no,unknown,9,jun,1137,unknown,1,None
274,42.0,entrepreneur,married,tertiary,no,5345,no,no,unknown,11,jun,878,unknown,1,None
275,41.0,admin.,single,secondary,no,812,no,yes,unknown,11,jun,583,unknown,1,None
276,42.0,admin.,married,secondary,no,105,no,no,unknown,11,jun,1159,unknown,1,None
277,39.0,management,married,tertiary,no,-190,no,yes,unknown,11,jun,893,unknown,1,None
278,57.0,housemaid,married,primary,no,625,no,yes,unknown,11,jun,867,unknown,1,None
279,52.0,retired,married,unknown,no,293,no,no,unknown,11,jun,706,unknown,1,None
280,59.0,retired,married,unknown,no,1033,no,no,unknown,11,jun,1199,unknown,1,None
281,56.0,blue-collar,married,secondary,no,1210,no,no,unknown,11,jun,935,unknown,1,None
282,49.0,management,married,tertiary,no,64,no,no,unknown,11,jun,586,unknown,1,None
283,35.0,blue-collar,divorced,unknown,no,164,no,no,unknown,11,jun,967,unknown,1,None
284,36.0,unemployed,married,secondary,no,1766,no,no,unknown,11,jun,595,unknown,1,None
285,40.0,admin.,single,tertiary,no,1248,no,no,unknown,11,jun,1290,unknown,1,None
286,55.0,blue-collar,married,secondary,no,0,no,no,unknown,12,jun,614,unknown,1,None
287,58.0,admin.,married,secondary,no,826,no,no,unknown,12,jun,885,unknown,1,None
288,39.0,self-employed,married,tertiary,no,2630,no,no,unknown,12,jun,651,unknown,1,None
289,47.0,housemaid,single,tertiary,no,3727,no,no,unknown,12,jun,993,unknown,1,None
290,40.0,management,married,secondary,no,406,yes,no,unknown,12,jun,577,unknown,1,None
291,35.0,blue-collar,married,tertiary,no,2999,no,no,unknown,12,jun,1141,unknown,1,None
292,48.0,blue-collar,married,secondary,no,1000,yes,no,unknown,12,jun,1268,unknown,1,None
293,48.0,management,divorced,tertiary,no,503,no,yes,unknown,12,jun,1243,unknown,1,None
294,24.0,blue-collar,single,secondary,yes,-203,yes,no,unknown,12,jun,465,unknown,1,None
295,49.0,blue-collar,married,primary,no,361,yes,no,unknown,16,jun,513,unknown,1,None
296,36.0,blue-collar,married,secondary,no,274,yes,no,unknown,16,jun,686,unknown,1,None
297,52.0,retired,divorced,tertiary,no,3687,yes,yes,unknown,16,jun,741,unknown,1,None
298,42.0,entrepreneur,single,unknown,no,323,no,no,unknown,16,jun,617,unknown,1,None
299,36.0,services,married,secondary,no,981,no,no,unknown,16,jun,1093,unknown,1,None
300,36.0,blue-collar,divorced,secondary,no,638,yes,no,unknown,16,jun,1395,unknown,1,None
301,48.0,unemployed,single,tertiary,no,3229,no,no,unknown,16,jun,1089,unknown,1,None
302,51.0,management,single,secondary,no,1610,yes,no,unknown,16,jun,1248,unknown,1,None
303,51.0,blue-collar,married,secondary,no,33,no,yes,unknown,16,jun,721,unknown,1,None
304,46.0,technician,married,secondary,no,536,yes,no,unknown,16,jun,750,unknown,1,None
305,37.0,management,married,tertiary,no,0,no,no,unknown,16,jun,637,unknown,1,None
306,36.0,entrepreneur,married,tertiary,no,3057,no,no,unknown,16,jun,2769,unknown,1,None
307,47.0,management,married,secondary,no,2892,no,no,unknown,17,jun,556,unknown,1,None
308,40.0,technician,divorced,tertiary,no,0,no,no,unknown,17,jun,522,unknown,1,None
309,38.0,student,single,tertiary,no,3316,no,no,unknown,17,jun,1345,unknown,1,None
310,40.0,management,married,secondary,no,106,no,no,unknown,17,jun,676,unknown,1,None
311,39.0,blue-collar,married,primary,no,2303,yes,no,unknown,17,jun,775,unknown,1,None
